Position,Company,Salary,Min-Salary,Max-Salary,City,Empirical,Education,Work Nature,Advantage,Detail,Address,Coordinate
C/C++,美国道富,15k-20k,15k,20k,杭州,5-10年,本科及以上,全职,"五险一金,15天年假,不加班","JobDescription:Workinadistributedagileteam,collaboratewithteammembersfromUS,IndiaandChinatoachievedelivery;Asaseniorsoftwareengineer,workcloselywithproductowner,analyst/designerandtestertoanalyze,developandtestRKSstories;Asaseniorsoftwareengineer,beabletocomeupwithsystemdesignanddevelophighqualitycodeforcomplexrequirementsindependently;Asaseniorsoftwareengineer,beabletoprovideconsultancyandguidancetoothermembersintheteamtohelpthemachievedeliverygoals;Asaseniorsoftwareengineer,continuouslypursueadvancementintechnologyandmechanismtoimproveteamproductivity,systemarchitecturebylearningandadoptingnewtechnologiesandmechanismslikecontinuousbuild,goodunittestingandqualitycoverage,etc.;Followindustrializedagilemodelandensurenecessarydocumentationsandtollgateapprovalsareobtainedagainstsoftwaredeliverables;Qualifications:6+yearsexperiencesinIT/CSStrongproficiencywithC/C++FamiliarwithOracledatabaseorotherrelationalDBFamiliarwithvariousscripting/shelldevelopmentFamiliarwithUnix/LinuxplatformFamiliarwithAgile/ScrumconceptsbetterwithexperienceinScrumMasterFamiliarwithsourcecontroltools,likeSVN/ClearCase/Gitetc.FamiliarwithcontinuousintegrationGoodcommunicationskillswithlocalandonsiteteamsinEnglish",杭州天堂软件园C栋,"(120.11646, 30.28979)"
C/C++开发工程师,神州优车集团,15k-30k,15k,30k,厦门,不限,学历不限,全职,扁平化管理,"岗位职责：1、负责多媒体通信平台架构设计与开发2、参与公司统一流量接入系统研发（深度定制的反向代理、流量调度系统、防攻击系统，网络流量数据分析系统等）；3、参与公司统一运维管理系统建设与改进；任职要求：1、有3年以上的软件开发经验，计算机、通信等相关专业背景，本科及以上学历；2、熟练掌握Linux下C/C++，GoLang设计与编程；3、熟悉Freeswitch、Webrtc技术，了解VoIP,SIP等通讯协议；4、具有良好的沟通表达能力，工作责任心强，善于学习；符合以下条件者优先：1、有全栈工程师能力，可以独立开发前后端完整的系统；2、有多媒体实时通信及呼叫中心的软件开发经验，了解呼叫中心的基本框架和流程的优先。",厦门特房波特曼中心,"(118.189052, 24.474742)"
c语言开发工程师,伟东云教育,20k-30k,20k,30k,深圳,3-5年,本科及以上,全职,团队思路开发、全球教育,岗位职责：1.负责Windows桌面及tcp网关服务的设计和开发；2.熟悉Windows应用程序开发过程，具有C#、C++和C语言开发经验；3.熟悉VisualStudio开发环境和.Net开发框架；4.熟悉应用软件UI界面开发；5.熟悉常用的数据库如MySQL等；6.熟悉基于electron框架的Windows桌面程序开发；7.了解Install安装软件的制作方法。任职要求：1.本科及以上学历，计算机等相关专业毕业，三年以上工作经验；2.学习能力强，良好的创新意识，有较强分析和解决问题的能力，较强逻辑思维能力和表达能力；3.良好的英文阅读能力，能阅读相关技术文档；4.工作积极主动，能够承受工作压力，服从工作安排，有团队合作精神；5.有electron开发经验、基于.net的tcp服务器开发经验优先。,深圳科技园中山大学产学研大楼13楼,"(113.943176, 22.526995)"
C/C++开发工程师,缔安研发部,10k-20k,10k,20k,上海,1-3年,本科及以上,全职,"PaaS,福利多多","职位描述：1、系统设计和技术文档的编制；2、参与公司各种应用软件的编码、开发工作；3、参与软件开发流程的执行；4、软件或者系统产品的结构设计、性能改进、体验优化等工作。任职要求：1、计算机或相关专业本科及以上学历；2、熟悉Linux开发环境，熟悉Linux脚本，有使用Gcc/Gdb/Make进行Linux开发经验；3、熟悉MySQL/NoSQL集群配置及相关接口库开发4、熟悉SOCKET与多线程开发；5、熟悉C/C++，熟悉STLC++标准库，熟悉常用数据结构、算法；6、熟练TCP/IP协议，和常用的应用层协议(HTTP,FTP)等；7、具备较好的自我学习能力和独立工作能力，熟悉软件工程的流程；8、具有强烈的责任感和团队精神，有一定的分析能力和表达能力，思维逻辑性较好。",上海SOHO天山广场,"(121.356187, 31.220756)"
C/C++资深研发工程师,北京涛思数据科技有限公司研发,25k-50k,25k,50k,北京,不限,本科及以上,全职,"大牛团队,高薪好福利,弹性工作,丰厚期权","工作职责：1.负责数据库引擎的设计、开发、测试和优化2.与其他负责人一起互相review架构设计、代码3.与客户进行需求沟通、技术培训，介绍TDengine的原理、使用方式、最佳实践等基本条件：1.优秀的C/C++编码能力;2.熟悉数据库内核的基本算法；3.对数据库开源项目(Cassandra,Redis,MongoDB,MySQL等)有研究4.有2年以上系统开发经验，熟悉分布式、高可靠系统的设计、研发和测试；5.能快速搜索并阅读英文技术资料，爱写程序，爱技术挑战；6.能独立做需求分析，并设计、开发、测试软件，全栈软件工程师一个；7.能组建并带领团队，也能挽起袖子自己干正规本科以上毕业，985院校优先",北京来广营西路诚盈中心,"(116.465953, 40.021083)"
C语言开发工程师,易联达,10k-18k,10k,18k,北京,1-3年,本科及以上,全职,"带薪年假,补充医疗,绩效奖金,定期体检",岗位职责：1.根据功能需求说明，写出详细设计方案；2.根据设计文档/模型，编写合格的代码，进行独立的开发；3.代码维护，包括修正代码中的故障，并积极进行代码优化；4.负责对已有项目在不同系统平台间的移植；5.根据项目需求学习掌握新系统平台进行开发。任职要求：1.熟悉C语言，具备编码经验。有Linux下的C开发经验优先；2.有扎实的编程基础，能够有效理解开发任务；3.熟悉相关编程工程（如vc/vs）;4.良好的代码编写习惯、以及技术文档书写能力；5.有相关软件编程、熟悉网络（socket）编程优先。,北京永澄北路2号,"(116.227754, 40.078028)"
c语言开发工程师,金丘股份,12k-15k,12k,15k,上海,3-5年,本科及以上,全职,环境好，待遇优,"岗位职责：1、负责根据业务需求进行系统的开发和调试工作；2、参与系统需求讨论，进行系统的概要设计及详细设计；3、系统核心代码的编写及单元测试；4、负责编写相关的设计及开发文档。业务技能：1、1年C/C++银行应用开发经验，能独立承担设计及开发任务；2、熟练掌握C/C++相关技术，对程序设计有着清晰认识3、熟悉Oracle数据库；4、具有新技术的快速学习及适应能力；5、责任心强，有良好的沟通能力和团队协作精神。经验背景：符合以下条件者优先：a）熟悉银行业务或有银行系统开发经验b）有CNAPS、CIPS网联等银行支付相关经验优先c)熟悉LINUX/UNIX操作系统,ORACLE/DB2数据库等",上海陆家嘴银城中路200号 中银大厦28楼 2807~2812室,"(121.503371, 31.238518)"
C/C++高级开发工程师,金山云CDN及视频云产品中心,15k-30k,15k,30k,武汉,3-5年,本科及以上,全职,七险一金 周目双休 带薪年假,岗位职责：负责P2P服务端的设计及研发工作。任职资格：1、全日制统招本科及以上学历，计算机相关专业；2、3年以上服务端开发经验，精通Linux/Unix平台上的C/C++编程；3、精通网络编程、多线程编程、熟悉常见数据结构和常用算法；5、具备良好的编程思想和代码规范，能够独立的分析和解决问题能力，具备快速学习能力；6、具备良好的团队沟通和协调能力，有责任心，能够承受工作压力;7、精通Linux高并发服务器程序开发者优先；8、具有P2P项目开发经验者优先。,武汉武汉市东湖新技术开发区光谷大道77号光谷金融港B24栋2层,"(114.429234, 30.455762)"
软件研发工程师（C/C++、Linu...,广州市奥威亚电子科技有限公司研发部,15k-30k,15k,30k,广州,5-10年,本科及以上,全职,年终奖，节日福利，团队活动，五险一金,"软件研发工程师（C/C++、Linux、流媒体服务器）1.统招本科以上学历，计算机/软件/通信等相关专业；2.可熟练阅读英文技术文档，具备文档编写能力；3.良好的协作能力与沟通能力，具有敬业精神、高度责任感和创新能力、富团队合作精神。岗位要求：1.良好的C/C++编程能力，能熟练使用SVN或者GIT等版本管理软件的客户端；2.熟悉Linux操作系统及Linux多线程、进程通信等内容的编程；熟悉计算机网络编程（TCP/IP、UDP等网络通信协议）；3.对云服务器的部署有一定了解；4.具有以下任何一项经验者优先考虑熟悉开源流媒体服务器如DarwinStreamingServer、Live555、Simplertmpserver等的框架及设计；熟悉音频数据的表示方式，对音频数据的主要参数有充分的了解；熟悉音频的编解码格式，如G.7XX、AAC、OPUS等；熟悉视频数据的表示方式和种类，对视频数据的主要参数有充分的了解；熟悉视频的编解码格式，如H.264、H.265、MJPEG等；对静态图像的表示和存储方式要有一定了解；熟悉音视频数据的封装存储格式，如MP4、FLC、VOB等；熟悉计算机音视频传输的相关协议：包括RTSP、RTMP、RTP等；熟悉计算机音视频互动的相关协议，如：H.323、SIP、WebRTC、Skype等。我们的优势：A.专注信息化教育视频应用14年，深耕教育服务14载，将视音频技术融入到课堂录制，在线互动、课后点播、课例直播等各个教学环节；B.10,000余所中小学和高校成功案例，凭借优质的产品和方案，奥威亚的市场占有率领先同行，在全国各地先后打造万余项成功案例；C.占比40%的研发和技术团队，重视研发与创新，研发和技术团队占公司总人数的40%，近五年一直保持年收入12%的研发投入；D.33个本地化服务，全国建立33个服务网络，提供涵盖售前、售中、售后全过程的本地化服务，第一时间响应客户需求。我们的福利：A.富有竞争力的薪酬福利体系，根据个人表现提供年薪14月+；B.完整的社会保障体系，五险一金，周末双休，法定假日，带薪年假；C.丰富多彩的员工活动，倡导平缓工作与生活，月度生日会，员工聚餐，旅游活动等；D.免费提供工作餐，由公司农庄提供蔬菜和禽类，食材绿色健康；E.针对性一对一培养机制，良好工作氛围，提供多维度发展空间，体现个人价值；F.总部班车接送，远离拥堵公交(华师-公司、黄村-公司)。",广州科学大道中绿地中央广场A1栋13楼,"(113.3612, 23.12468)"
C中级工程师,成都天用唯勤研发部,9k-18k,9k,18k,深圳,3-5年,本科及以上,全职,六险一金、带薪年假、双休、餐补、通讯补贴,岗位职责：1、配合项目经理完成项目的需求分析及详细设计2、负责具体模块的编码、单元测试、集成测试3、根据公司软件工程管理规范和客户要求，撰写相关文档4、根据客户的后续需求，对相关软件进行维护和升级任职要求：1、计算机、数学或电子信息技术专业，本科以上学历2、C/C++基础扎实，有1年以上C/C++开发经验的优先考虑3、熟悉银行业务知识，有银行或金融产品开发经验优先考虑；具备项目管理经验优先考虑4、熟悉Oracle、Informix、Sysbase、SQLServer、MySql等至少一种主流数据库5、具备良好的编码规范、良好的沟通表达能力和文档交付能6、具有较强的自学能力，善于发现问题、解决问题，并能够承受工作压力7、具有良好的客户服务意识，重视团队合作，有责任心，上进心福利：提供六险一金、带薪年假、双休、餐补、通讯补贴、项目奖金。,深圳NEO大厦C栋9F1,"(114.030928, 22.53603)"
C语言开发工程师,诚智天扬研发部,8k-15k,8k,15k,杭州,1-3年,本科及以上,全职,"薪资待遇好,福利待遇好",岗位职责：1、计算机、电子、通信等相关专业，本科及以上学历；2、熟练掌握C语言编程，熟悉常用数据结构与算法，至少一年以上相关从事经验；3、熟悉Linux系统及Linux下C语言编程；4、有扎实的网络技术基础，精通TCP、UDPsocket编程，熟悉网络编程，有RTP/RTCP开发经验者优先；5、熟悉各类音视频编解码；6、英语四级以上，阅读英文文档不成障碍；7、认真负责、热情，有良好的服务意识与工作抗压能力；8、快速学习、把握新技术并迅速应用的能力，能够适应加班和出差。,杭州州市文二路391号节能环保科技园E座南区二层,"(120.124776, 30.283041)"
C/C++中级开发工程师,安舟信息研发部,8k-12k,8k,12k,成都,3-5年,本科及以上,全职,信息安全,"岗位职责1.海量数据包实时分析、检测、存储代码设计及实现。2.开发相关文档撰写。岗位要求1.熟悉linuxC/C++开发和调试。2.熟悉linux操作系统，至少掌握一门脚本语言。3.熟悉TCP/IP协议栈,对常用的应用层协议http,smtp,dns等能够进行分析。4.有网络流量安全检测类产品开发经验优先。5.具备linux下软件调优经验(高并发,内存控制等)。",成都国家西部信息安全产业基地,"(104.060077, 30.549563)"
嵌入式Linux C/C++软件工程师,道通智能航空相机部,15k-25k,15k,25k,深圳,1-3年,本科及以上,全职,"平台广阔,工作氛围好,技术牛人多,年终奖金",职位描述：1.承担摄像机中SD卡与eMMC中文件管理的开发工作，包括磁盘的文件遍历、读写等操作.2.承担摄像机中相册管理、MOV/MP4录像、JPEG/DNG拍照功能的开发工作.3.承担摄像机通用功能以及图像传输功能的开发工作.4.能够理解用户需求，完成项目分析、设计、编码、测试和维护工作.5.完成团队安排的其他工作.任职要求：1.本科及以上学历，计算机相关专业.2.精通LinuxC/C++编程，包括多线程、多进程、Socket编程.3.精通磁盘文件系统遍历、读写操作，在该领域有2年以上开发经验.4.理解Linux设备驱动模型，具备实际驱动程序移植开发能力.5.熟悉Shell脚本，了解Json封装和解析知识.6.具有良好的程序设计能力，与周边团队联合开发能力.,深圳西丽街道学苑大道1001号南山智园B1栋9楼,"(114.004834, 22.593846)"
C/C#/C++开发,YIDATECERP事业部,12k-18k,12k,18k,深圳,3-5年,大专及以上,全职,"五险一金,带薪年假,年度旅游,加班调休","用人要求：1、大专及以上学历，4年以上.NET开发经验有.NETCore开发经验优先；2、精通C#语言、ORM架构、精通.net平台，对.net底层有较深入的认识；3、掌握Linux常用命令，了解Redis，熟练使用ORACLE及常用NoSQL数据库,有大数据处理和Sql优化经验；技术要求:bs,oracle、webform/mvc",深圳后瑞地铁顺丰大楼,"(113.88402, 22.555259)"
C/C++高级软件工程师（北京）,国瑞数码大客户事业部,15k-30k,15k,30k,北京,3-5年,本科及以上,全职,"五险一金,节日福利,弹性上下班,带薪年假","职位描述:1、维护升级公司已有的项目和产品；2、研究分析网络应用协议，编码实现网络协议识别还原的相关功能；3、根据需要学习新领域、新技术做可行性分析调研工作。任职要求:1、三年软件开发经验，计算机相关专业全日制本科学历（非民办类）；2、熟练掌握linux/windows平台下C/C++编程，熟悉面向对象思想；3、熟悉常用算法和数据结构，熟悉网络编程和多线程编程技术；4、熟悉TCP/IP协议原理，以及其它常见的网络协议如UDP/HTTP/HTTPS等；5、对网络路由交换，协议栈实现有良好的知识背景；6、熟悉RSA、ECC等密码算法及SM2、SM3、SM4算法的使用，具有密码应用相关领域研发经验优先考虑；7、有安全产品开发经验，如入侵检测、上网行为、网络审计产品中任一开发经验优先考虑；8、热爱技术,有强烈的求知欲；具备较强的独立学习能力。",北京芍药居甲2号院12号楼综合楼3层,"(116.431333, 39.9798)"
C/C++高级软件工程师,宁美国度小咪网络,10k-18k,10k,18k,武汉,3-5年,大专及以上,全职,完全扁平化 大公司内创 老司机带队,"岗位要求：1.两年以上C/C++开发经验,能熟练使用VC开发应用程序;2.熟悉MFC框架;3.熟悉Windows程序开发;并能熟练使用WindowsAPI;4.熟悉多线程开发;5.有DirectUI开发经验者优先;6.熟悉网络编程，有HTTP通讯开发经验者优先;7.有Windows内核开发能力者优先;8.具备较强的自学能力和良好的沟通能力，敬业、主动、易沟通、有团队合作意识;",武汉武汉市江夏区武汉高新技术开发区光谷智慧园28栋,"(114.423457, 30.464265)"
C/C++开发工程师,缔安研发部,15k-30k,15k,30k,上海,3-5年,本科及以上,全职,"前景好,扁平化,环境优","职位描述：1、系统设计和技术文档的编制；2、参与公司各种应用软件的编码、开发工作；3、参与软件开发流程的执行；4、软件或者系统产品的结构设计、性能改进、体验优化等工作。任职要求1.精通C/C++，精通Socket套接字编程2.精通多线程编程3.精通非阻塞IO，能熟练使用select,poll,epoll等IO多路转接技术，有libev、libevent、libuv至少一种库使用经验者优先；4.精通linux编程环境，会使用cmake,make,automake等编译工具；5.精通iptables和netfilter技术，有netfilter编程经验者优先；6.能熟练使用OpenSSL编程接口；7.精通静态路由技术；对动态路由技术（BGP，RIP，OSPF）了解者优先；8.精通LinuxNAT的工作原理；9.对动态路由技术（BGP，RIP，OSPF）了解者优先；10.熟悉linux内核tcp协议栈，有实际开发经验者优先；11.了解LinuxTrafficControl、ebtables者优先；12.有分布式应用开发经验者优先、对VPN技术有一定了解者优先。",上海SOHO天山广场,"(121.356187, 31.220756)"
C/C++软件开发工程师-蓝牙,GARMIN佳明AutoOEM,12k-20k,12k,20k,成都,3-5年,本科及以上,全职,"六险一金,周末双休,福利完善,氛围佳","1.负责蓝牙相关软件开发2.负责项目需求分析，软件设计，文件撰写，编码，调试，维护等相关工作任职资格：1.本科及以上学历，计算机相关专业2.3年以上蓝牙相关软件开发经验3.熟悉蓝牙系统架构，对蓝牙Corespec及profile有深入了解4.熟练使用蓝牙协议分析工具5.精通Java或C/C++,熟悉A2DP/AVRCP/HFP/PBAP应用开发6.对SPP/HID/HSP/MAP/PAN等有所了解7.良好的代码编写习惯和代码质量8.有嵌入式系统软件开发经验,熟悉Android，Linux，QT者优先",成都天府软件园C区C11-3L,"(104.072537, 30.539013)"
C/C++开发工程师（成都）-IPS,绿盟科技,10k-15k,10k,15k,成都,1-3年,本科及以上,全职,六险一金，餐补，通讯补贴，弹性工作时间,工作职责:1、负责IPS/IDS报文引擎、网络安全引擎、转发/控制功能的分层设计与开发；2、负责系统配置管理平面的设计与开发；3、负责启动脚本的开发任职资格:1、本科及以上学历，系统的学习过软件研发相关技术；2、有较强的C/C++编程基础，深入理解面向对象编程思想，可熟练使用STL；3、有3年以上Linux环境下C/C++项目经验，熟悉GDB等调试工具；4、熟悉TCP/IP协议栈，有Linux网络编程者优先；5、熟悉入侵检测、DDOS或其它网络安全防护技术者优先；6、有具备团队合作精神，积极的工作态度和较强的责任心，良好的沟通和学习能力。,成都科园二路10号航利中心2栋2单元14楼1号,"(104.037463, 30.625708)"
高级C开发工程师,初灵信息成都视达科信息技术有限公司,8k-16k,8k,16k,成都,3-5年,本科及以上,全职,弹性工作；六险一金；租房补助；午餐补贴,岗位职责：负责基于C项目的架构及开发负责需求分析，系统设计，文档编写负责接口的开发与优化，接口文档的编写负责的项目须能承担繁重的访问压力职位要求：具备4年以上C开发经验具有1年以上高流量，大并发流媒体服务器实际开发经验精通HTTP、RTSP、RTMP、HLS常用媒体协议精通TS、FLV、MP4等流媒体文件封装熟悉IPTV、NGOD/NGB等视频服务标准熟悉Linux的整体架构、网络和IO优化，掌握Linux各种调试的工具和方法福利待遇：奖金：根据工作表现，每年有机会获得1-5个月的项目奖金；补贴：购买商业意外险，提供午餐、交通或租房补贴及考取证书补贴；假期：在国家原有的法定假期基础上，额外赠送2天婚假，每月0.5天带薪事假及每年6天带薪病假；员工关怀：春游、秋游、生日礼品、节日问候、年度体检。本职位招聘企业为[初灵集团]子公司[成都视达科信息技术有限公司]。视达科于2009年在北京注册成立，注册资金10000万人民币，其研发基地和运营中心坐落于成都天府软件园。公司专注于新媒体技术领域创新，拥有多项公开发明专利和实用新型专利，具备ISO9001国际质量体系认证资格。随着国内业务的日趋成熟以及海外业务的飞速增长，视达科先后成立成都视达科、香港视达科等全资子公司，同时在广西、湖南、云南、福建、深圳、山东、安徽、吉林、香港、台湾、柬埔寨、俄罗斯、新加坡、德国、中东、新西兰等地成立了办事处。公司主页：http://www.starcor.com/ch/index.html,成都天府软件园D区6栋8楼＆16楼（北京视达科科技有限公司）,"(104.075394, 30.539734)"
Windows c/c++开发工程师,浩海云科技,15k-22k,15k,22k,深圳,1-3年,大专及以上,全职,福利待遇、发展空间、项目奖励、团队期权,岗位职责：1、负责终端安全产品windows客户端的开发；2、参与终端安全产品驱动层功能的开发；岗位要求：1、全日制大专及以上学历，1年以上windowsC++开发经验；2、精通C++开发，熟悉windows客户端开发，熟悉QT开发；3、对软件界面UI设计与交互有一定经验，熟悉各种UI组件使用和扩展方法；4、理解Windows的核心机制：消息机制、图形系统、进程、线程、内存管理等；5、熟悉SOCKET网络编程、串口通讯、多线程编程等；6、熟练使用windbg、ollydbg等分析和调试工具者优先；7、具有反编译、汇编、破解、反破解等经验者优先；8、有过终端安全或终端数据防泄漏产品开发经验者优先；9、经验更丰富、能力更强、有相关领域研发经验者，将会以更高级别招聘入职。.,深圳桃源街道学苑大道1001号南山智园,"(114.004741, 22.594189)"
Windows C/C++开发工程师,新奥特视频,15k-20k,15k,20k,北京,3-5年,本科及以上,全职,六险一金、午餐补助、带薪年假、节假日福利,岗位职责：1、负责非编产品的研发；2、完成软件开发任务，进行该软件程序的设计、调试和维护；3、参与软件需求分析和系统框架设计。岗位要求：1、熟悉C/C++及Windows平台基本开发技术；2、掌握软件问题调试定位的方法；3、了解基本的软件开发流程，具备软件需求分析和软件设计能力，熟悉面向对象的程序设计；4、熟练掌握并使用VisualStudio开发工具，熟练使用MFC开发包，掌握多线程编程。,北京五棵松路49号新奥特科技大厦,"(116.27246, 39.934541)"
C/C++/VC++开发工程师,今古科技,10k-18k,10k,18k,武汉,3-5年,大专及以上,全职,"五险一金,带薪年假,年底双薪,员工旅游",1熟悉金融证券行业，具备有良好的程序编码能力，能独立完成开发工作；2熟悉Windows界面编程、网络编程，多线程开发开发；3熟悉duilibUI库；4熟悉win32控件；5熟悉DLL封装和调用；6理解UI原理，掌握GDI+；7熟悉Windows消息机制，控件绘制机制。,武汉光谷软件园A11栋310室,"(114.404336, 30.474696)"
C/C++研发工程师-GIS,四维图新GIS引擎研发部,14k-24k,14k,24k,北京,不限,本科及以上,全职,"内部轮岗,技术讲座,高薪,绩效奖金",工作职责1、面向客户，提供定制化的地图应用和导航解决方案。2、开发以及优化GIS数据的处理、编译工具。3、进行Linux、Wince、iOS、Android等平台手机和车载导航SDK的开发。4、进行相关领域新应用的预研，自动化编译和发布、自动化测试等。5、导航算法的研究和优化，POI搜索、语音引导、全实景3D渲染、惯导等模块。任职资格1、计算机相关专业，本科或以上学历，工作经验不限。2、具有良好的数据结构及算法功底，熟悉多线程编程，计算机方面知识广泛。3、酷爱并能熟练编写C/C++程序，有算法思想。有扎实的编程功底和良好的编程习惯。4、踏实、勤奋的工作激情，思路清晰，善于思考，良好独立解决问题的能力。5、掌握多种编程语言（Objective-C、Java、Python等）或者有OpenGL开发经验者优先。6、熟练阅读英文技术文档，用英文编写文档者优先。,北京四维图新大厦,"(116.245368, 40.072979)"
C语言开发工程师,南天信息,5k-10k,5k,10k,成都,1-3年,本科及以上,全职,五险一金周末双休定期体检年终奖金节日福利,岗位职责：1、熟悉LINUX环境下C语言编程；2、熟悉LINUX基本命令，shell脚本；3、熟悉TUXEDO中间件，DB2、MySQL等数据库。职位要求：1、二年以上软件开发工作经验，了解银行业务，对银行代收付或其他中间业务有一定了解；2、计算机相关专业毕业，本科以上学历；3、具备良好的团队合作精神和高度的责任感以及承压能力；4、有银行项目开发经验优先；,成都天泰路112号北18楼南天信息,"(104.056073, 30.632985)"
C语言工程师-00186,紫光云,12k-16k,12k,16k,天津,3-5年,本科及以上,全职,五险一金、带薪年假、技能培训、节日福利,岗位职责：负责紫光云中台业务研发任职要求：1、计算机/软件相关专业本科以上学历，3年以上软件开发经验，有完整产品开发经验者优先；2、熟悉C/C++、常用算法和数据结构、TCP/UDP、HTTP等网络协议；3、熟悉分布式系统，熟悉大型软件系统架构，MySQL数据库和开发接口4、有Linux或Windows下较大规模软件的开发经验；5、良好的逻辑思维和系统分析能力，良好的发现问题、分析问题、解决问题的能力。,天津塘沽海洋科技园汇祥道399号6、7号楼,"(117.62301, 39.064613)"
C语言软件开发工程师,诚智天扬研发部,10k-20k,10k,20k,杭州,1-3年,本科及以上,全职,"双休+旅游,每年加薪,上升空间大,薪酬绩效高",岗位职责：1、计算机、电子、通信等相关专业，本科及以上学历；2、熟练掌握C语言编程，熟悉常用数据结构与算法，至少一年以上相关从事经验；3、熟悉Linux系统及Linux下C语言编程；4、熟练掌握数据库原理，能够使用SQL进行开发，熟悉Oracle或MySQL数据库者优先；5、熟悉Diameter、SIP其中任一种协议者优先；6、英语四级以上，阅读英文文档不成障碍；7、认真负责、热情，有良好的服务意识与工作抗压能力；8、快速学习、把握新技术并迅速应用的能力，能够适应加班和出差。,杭州州市文二路391号节能环保科技园E座南区二层,"(120.124776, 30.283041)"
中级C软件工程师(J16314),天阳科技应用开发交付一部,10k-15k,10k,15k,北京,3-5年,本科及以上,全职,晋升空间,工作职责:参与需求分析详细设计代码开发与技术测试解决生产环境问题编写投产脚本支持业务测试任职资格:熟练掌握c语言及shell脚本的编写熟悉oracle数据库熟悉unixAIX系统有良好的团队合作精神有银行开发经验有证券、期货系统开发经验者优先,北京南礼士路,"(116.353284, 39.914974)"
C开发,通力互联苏州MAG 2012与企业IT需求分析部,9k-18k,9k,18k,苏州,3-5年,本科及以上,全职,C、Linux、shell、AP、AC,岗位职责：1.负责IPv4&IPv6双栈终端的模拟开发；2.负责终端上线、认证、漫游等模拟功能开发；3.负责仿真AC、AP的维护与开发；4.AC、AP各款型及业务与客户配合开发；5.负责终端统计、性能等方面的开发。任职要求：1.统招二本以上学历，计算机相关专业，熟练掌握C语言；2.4年以上开发经验（硕士2年），具有设计、优化经验，良好的编码规范；3.熟练Linux环境开发，有一定的shell、makefile基础；4.有相关开发经验优先，了解数据通信相关知识优先。,苏州新平街388号腾飞创新园塔C十楼软通动力,"(120.73444, 31.253374)"
c/c++高级开发工程师,葡萄智学,25k-30k,25k,30k,北京,3-5年,本科及以上,全职,发展前景好,工作职责：1、参与智能语音、计算机视觉、自然语言处理等人工智能服务系统的整体设计、开发、搭建、运维、重构和性能优化，提供稳定、高效、易维护、易扩展的服务框架以支持快速迭代；2、参与智能语音、计算机视觉、自然语言处理等方向上的探索性研发工作。职位要求：1、计算机或相关专业硕士及以上学历；2、基础扎实，熟练掌握数据结构、对常用算法有较深入的理解，能根据实际应用场景设计合理的算法和数据结构；3、熟练掌握linux平台下的C/C++程序开发，熟悉网络和多线程编程，熟练使用GCC、GDB等开发工具，具备linux下存储、内存、CPU、网络等系统问题分析和排查能力；熟练掌握shell/python/php等脚本语言中的至少一种；4、具备thriftrpc、protobuf、nosql存储、消息队列、检索、缓存、中间件等开发及应用经验；有大规模系统设计、开发、优化经验；5、有数据挖掘、机器学习相关经验者优先；有语音识别、图像识别、自然语言处理相关背景者优先；能够在TensorFlow/Torch/caffe等开源平台上开展实验者优先；6、工作积极主动、责任心强，有较强的分析解决问题的能力，对解决挑战性问题充满热情，善于学习新事物，善于沟通和表达。,北京北四环西路9号银谷大厦9层,"(116.33396, 39.986955)"
C语言开发,通卡联城技术部,10k-15k,10k,15k,杭州,1-3年,本科及以上,全职,14薪,岗位描述：1.负责公司POSP前置开发。2.负责公司消费平台开发。3.ARM设备系统开发、维护。任职资格：1.熟练使用C语言，熟练使用linux各种常用指令，熟练使用linuxIPC进行后台程序开发。2.熟练使用各种报文，如：定长、xml、8583、json、key-value。3.熟悉MySQL、Oracle等数据库；4.理解http，https，socket等协议，并熟练使用。5.对IC卡片了解者优先。6.有使用过KEIL工具开发者优先。,杭州婺江路217号近江时代大厦A18楼,"(119.993591, 29.993662)"
C开发,通力互联,8k-15k,8k,15k,西安,1-3年,大专及以上,全职,C开发,岗位职责：1.负责TDD-LTE/FDD-LTE基站L1（物理层）/L2（MAC、RLC、PDCP）算法/方案研究，特性设计，系统问题分析；2.负责L1/L2协议软件开发工作（基于DSP、PPC、ARM、FPGA平台）。任职要求：1.通信、电子、计算机等相关专业；2.熟悉移动通信和数字信号处理原理，熟悉2G/3G/4G标准中的L1（物理层）/L2（MAC、RLC、PDCP）相关协议并有相关项目开发经验者优先；3.掌握C语言，有DSP开发经验者优先；4.较强的责任心和团队合作精神，能适应一定压力和强度下的工作。,西安电信科学技术第十研究所,"(108.954381, 34.217574)"
C开发工程师,上海中软华腾软件系统有限公司,8k-15k,8k,15k,北京,3-5年,本科及以上,全职,五险一金；,最好熟悉收单业务，银行清算业务，银联相关业务，熟悉AIX系统、熟悉8583报文，XML报文，精通C语言、Pro*C开发，Makefile使用、shell脚本等、熟悉银行工作模式如不熟悉以上内容也可，但是必须沟通能力强，有银行经验,北京达美中心,"(116.51697, 39.936904)"
高级C/C++工程师,深思数盾DOE,15k-25k,15k,25k,北京,3-5年,本科及以上,全职,"七险一金,年终奖,福利好",岗位职责：负责加密中间件及周边组件的开发与维护。职位要求：1.计算机相关专业本科及以上学历，3年以上相关经验，精通C或C++语言，精通Windows编程；2.熟练使用Windbg等调试工具；3.熟悉底层网络编程；4.对技术或产品有不懈地追求。5.有Mac，IOS开发经验的优先,北京西二旗 中关村软件园二期 互联网创新中心C座510,"(116.280017, 40.047522)"
